policyID,statecode,county,eq_site_limit,hu_site_limit,fl_site_limit,fr_site_limit,tiv_2011,tiv_2012,eq_site_deductible,hu_site_deductible,fl_site_deductible,fr_site_deductible,point_latitude,point_longitude,line,construction,point_granularity
119736,FL,CLAY COUNTY,498960.000000,498960.000000,498960.000000,498960.000000,498960.000000,792148.875000,0.000000,9979.200195,0.000000,0.000000,30.102261,-81.711777,Residential,Masonry,1
448094,FL,CLAY COUNTY,1322376.250000,1322376.250000,1322376.250000,1322376.250000,1322376.250000,1438163.625000,0.000000,0.000000,0.000000,0.000000,30.063936,-81.707664,Residential,Masonry,3
206893,FL,CLAY COUNTY,190724.406250,190724.406250,190724.406250,190724.406250,190724.406250,192476.781250,0.000000,0.000000,0.000000,0.000000,30.089579,-81.700455,Residential,Wood,1
333743,FL,CLAY COUNTY,0.000000,79520.757812,0.000000,0.000000,79520.757812,86854.476562,0.000000,0.000000,0.000000,0.000000,30.063236,-81.707703,Residential,Wood,3
172534,FL,CLAY COUNTY,0.000000,254281.500000,0.000000,254281.500000,254281.500000,246144.484375,0.000000,0.000000,0.000000,0.000000,30.060614,-81.702675,Residential,Wood,1
785275,FL,CLAY COUNTY,0.000000,515035.625000,0.000000,0.000000,515035.625000,884419.187500,0.000000,0.000000,0.000000,0.000000,30.063236,-81.707703,Residential,Masonry,3
995932,FL,CLAY COUNTY,0.000000,19260000.000000,0.000000,0.000000,19260000.000000,20610000.000000,0.000000,0.000000,0.000000,0.000000,30.102226,-81.713882,Commercial,Reinforced Concrete,1
223488,FL,CLAY COUNTY,328500.000000,328500.000000,328500.000000,328500.000000,328500.000000,348374.250000,0.000000,16425.000000,0.000000,0.000000,30.102217,-81.707146,Residential,Wood,1
433512,FL,CLAY COUNTY,315000.000000,315000.000000,315000.000000,315000.000000,315000.000000,265821.562500,0.000000,15750.000000,0.000000,0.000000,30.118774,-81.704613,Residential,Wood,1
142071,FL,CLAY COUNTY,705600.000000,705600.000000,705600.000000,705600.000000,705600.000000,1010842.562500,14112.000000,35280.000000,0.000000,0.000000,30.100628,-81.703751,Residential,Masonry,1
253816,FL,CLAY COUNTY,831498.312500,831498.312500,831498.312500,831498.312500,831498.312500,1117791.500000,0.000000,0.000000,0.000000,0.000000,30.102160,-81.719444,Residential,Masonry,1
